Isaiah Hartenstein|27|9.2|9.4|3.5|1|0.8|0.622|0|0.61
Jaden Hardy|23|9.2|1.5|1|0.3|0.1|0.424|0.397|0.733
Daniss Jenkins|24|9.3|2.3|3.9|0.9|0.2|0.408|0.374|0.832
Davion Mitchell|27|9.3|2.7|6.5|1|0.2|0.49|0.395|0.646
Isaac Okoro|25|9.3|2.7|1.6|0.7|0.5|0.46|0.33|0.795
Landry Shamet|28|9.3|1.8|1.4|0.6|0.2|0.437|0.392|0.711
Marcus Smart|31|9.3|2.8|3|1.4|0.4|0.395|0.331|0.822
T.J. McConnell|33|9.4|2.2|5.1|1|0.2|0.538|0.32|0.862
Svi Mykhailiuk|28|9.4|2.5|1.9|0.5|0.1|0.478|0.408|0.893
Aaron Wiggins|27|9.4|3.1|1.7|0.9|0.4|0.431|0.356|0.736
Daniel Gafford|27|9.5|6.9|1.1|0.8|1.3|0.655|0|0.683
Jay Huff|27|9.5|4|1.5|0.5|1.9|0.476|0.319|0.828
Zaccharie Risacher|20|9.6|3.8|1.1|0.9|0.5|0.455|0.368|0.644
Javon Small|23|9.7|3.1|3.7|0.8|0.2|0.465|0.423|0.829
Micah Potter|27|9.7|5|1.5|0.5|0.3|0.515|0.423|0.842
Zach Collins|28|9.7|5.6|1.5|0.2|0.4|0.578|0.429|0.7
Royce O'Neale|32|9.8|4.8|2.7|1.1|0.4|0.421|0.408|0.711
Harrison Barnes|33|9.9|2.8|1.9|0.6|0.2|0.456|0.388|0.829
Tristan Da Silva|24|9.9|3.7|1.6|0.9|0.3|0.45|0.374|0.884
Ausar Thompson|23|9.9|5.7|3.1|2|0.9|0.525|0.25|0.571
Kevin Huerter|27|10|3.5|2.6|0.9|0.5|0.451|0.308|0.775
Jordan Miller|26|10|3|2.3|0.8|0.2|0.531|0.345|0.777
Toby Okani|24|10|3.5|1|0.7|0.5|0.357|0.29|0.125
Olivier-Maxence Prosper|23|10|3.5|1|0.8|0.2|0.549|0.405|0.754
Isaiah Stewart|24|10|5|1.1|0.3|1.6|0.55|0.333|0.756
Precious Achiuwa|26|10.1|6.7|1.4|0.9|0.7|0.528|0.278|0.554
Derrick Jones Jr.|28|10.1|3.5|1.4|0.9|1|0.499|0.359|0.763
Neemias Queta|26|10.2|8.4|1.7|0.8|1.3|0.653|0.125|0.703
D'Angelo Russell|29|10.2|2.3|4|0.5|0.1|0.405|0.295|0.717
Jalen Smith|25|10.2|6.7|1.2|0.5|0.8|0.483|0.373|0.742
Ziaire Williams|24|10.2|2.4|1.1|1.4|0.4|0.425|0.343|0.85
Khris Middleton|34|10.2|3.7|2.8|0.7|0.1|0.42|0.36|0.875
DaQuan Jeffries|28|10.3|1.7|0.3|0.7|0|0.579|0.444|1
Will Riley|19|10.3|2.9|2|0.7|0.1|0.439|0.316|0.8
Egor Demin|19|10.3|3.2|3.3|0.8|0.3|0.399|0.385|0.831
Adama-Alpha Bal|22|10.4|3.1|2.4|1.1|0.1|0.412|0.409|0.9
A.J. Green|26|10.4|2.7|1.9|0.5|0.1|0.424|0.419|0.855
Caleb Love|24|10.4|2.3|2.5|0.6|0.1|0.388|0.318|0.735
Lucas Williamson|27|10.4|5.4|2.6|1.6|0.1|0.333|0.283|1
Tari Eason|24|10.5|6.3|1.5|1.2|0.5|0.416|0.358|0.776
Marvin Bagley III|26|10.5|6.1|1.4|0.5|0.7|0.618|0.462|0.66
Jock Landale|30|10.6|5.7|1.7|0.5|0.5|0.515|0.383|0.635
Bub Carrington|20|10.7|3.4|4.6|0.6|0.2|0.424|0.408|0.73
Jakob Poeltl|30|10.7|7|2|0.9|0.7|0.7|0|0.602
Daeqwon Plowden|27|10.8|3|1.3|0.7|0.2|0.43|0.333|0.857
Tyler Burton|25|10.8|4.2|1|0.9|0.3|0.375|0.333|0.852
Dennis Schroder|32|10.8|2.7|4.9|0.8|0.2|0.405|0.329|0.834
Jusuf Nurkic|31|10.9|10.4|4.8|1.3|0.5|0.503|0.352|0.549
Rudy Gobert|33|10.9|11.5|1.7|0.8|1.6|0.682|0|0.526
Alondes Williams|26|11|6.3|3|0.8|0.8|0.615|0.357|0.875
Cam Spencer|25|11.1|2.5|5.6|0.7|0.2|0.473|0.449|0.94
Isaiah Joe|26|11.1|2.5|1.3|0.7|0.2|0.455|0.423|0.894
Julian Champagnie|24|11.1|5.8|1.5|0.8|0.5|0.437|0.381|0.844
Kel'el Ware|21|11.1|9|0.7|0.8|1.1|0.53|0.395|0.74
Max Strus|29|11.2|5.4|2|0.3|0|0.443|0.402|0.778
Sandro Mamukelashvili|26|11.2|4.9|1.9|0.8|0.5|0.523|0.389|0.747
Scotty Pippen Jr.|25|11.4|2.2|4.7|1.9|0.4|0.448|0.313|0.783
Pelle Larsson|24|11.4|3.5|3.4|0.7|0.2|0.496|0.323|0.797
Kyle Filipowski|22|11.4|7.2|2.6|0.9|0.5|0.492|0.325|0.75
Rui Hachimura|27|11.5|3.3|0.8|0.6|0.3|0.514|0.443|0.694
Jarace Walker|22|11.6|5.1|2.5|0.8|0.3|0.419|0.374|0.749
Obi Toppin|27|11.6|4.4|2.3|0.5|0|0.503|0.352|0.913
Bilal Coulibaly|21|11.7|4.3|2.6|1.3|1|0.425|0.319|0.746
Derik Queen|21|11.7|7.1|3.7|1|0.9|0.473|0.261|0.795
Klay Thompson|35|11.7|2.1|1.4|0.5|0.3|0.393|0.383|0.766
Mark Williams|24|11.7|8|1|0.9|0.9|0.644|1|0.771
Isaiah Collier|21|11.7|2.5|7.2|1.1|0.3|0.495|0.27|0.722
Nic Claxton|26|11.7|6.9|3.7|0.7|1.1|0.571|0.158|0.616
Julian Reese|22|11.8|10.5|1.8|1.4|0.6|0.529|0|0.636
Dylan Harper|19|11.8|3.4|3.9|0.8|0.3|0.505|0.343|0.756
Wendell Carter Jr.|26|11.8|7.4|2|0.8|0.6|0.512|0.319|0.792
Myles Turner|29|11.9|5.3|1.5|0.7|1.6|0.44|0.383|0.74
Blake Hinson|26|11.9|2.4|1.1|0.4|0.1|0.513|0.468|0.75
Dyson Daniels|22|11.9|6.8|5.9|2|0.4|0.517|0.188|0.615
Tristen Newton|24|12|3|0|1|0|0.444|0.4|0.667
Miles McBride|25|12|2.4|2.6|0.9|0.2|0.423|0.413|0.787
Josh Hart|30|12|7.4|4.8|1.1|0.3|0.508|0.413|0.72
Christian Braun|24|12|4.8|2.7|0.7|0.3|0.519|0.301|0.782
Moses Moody|23|12.1|3.3|1.6|1|0.6|0.44|0.401|0.77
Donovan Clingan|21|12.1|11.6|2.1|0.6|1.7|0.52|0.341|0.68
Duncan Robinson|31|12.2|2.7|2.1|0.6|0.3|0.456|0.41|0.755
Tre Johnson|19|12.2|2.8|2|0.6|0.3|0.419|0.358|0.874
Cameron Johnson|29|12.2|3.8|2.4|0.7|0.4|0.48|0.43|0.839
Donte DiVincenzo|29|12.2|4.1|3.8|1.3|0.4|0.406|0.379|0.743
Jonathan Kuminga|23|12.2|5.6|2.3|0.6|0.3|0.463|0.333|0.724
De'Anthony Melton|27|12.3|3.2|2.6|1.6|0.4|0.407|0.294|0.826
Noah Clowney|21|12.3|4.1|1.6|0.8|0.7|0.396|0.329|0.804
Max Christie|22|12.3|3.2|2|0.6|0.4|0.441|0.404|0.899
Jaylen Wells|22|12.5|3.2|1.6|0.9|0.1|0.431|0.353|0.784
Maxime Raynaud|22|12.5|7.5|1.4|0.5|0.5|0.571|0.324|0.786
Malik Monk|27|12.5|1.9|3|0.6|0.4|0.438|0.395|0.879
GG Jackson II|21|12.5|4.3|1.5|0.6|0.8|0.496|0.332|0.742
Deandre Ayton|27|12.5|8|0.8|0.6|1|0.671|0|0.645
Collin Gillespie|26|12.7|4.1|4.6|1.2|0.2|0.418|0.401|0.874
Sam Merrill|29|12.8|2.6|2.4|0.6|0.1|0.461|0.421|0.855
Brandon Williams|26|13|2.9|3.9|0.9|0.3|0.472|0.232|0.793
Kyle Kuzma|30|13|4.5|2.7|0.7|0.4|0.492|0.347|0.726
Jaylon Tyson|23|13.2|5.1|2.2|0.8|0.4|0.493|0.446|0.738
Keldon Johnson|26|13.2|5.4|1.4|0.6|0.1|0.519|0.363|0.794
Tobias Harris|33|13.3|5.1|2.5|0.9|0.4|0.469|0.368|0.866
Jordan Poole|26|13.4|2|3.1|0.6|0.4|0.372|0.333|0.86
Quentin Grimes|25|13.4|3.6|3.3|0.9|0.4|0.45|0.334|0.84
Toumani Camara|25|13.4|5.1|2.5|1.1|0.4|0.44|0.37|0.708
Reed Sheppard|21|13.5|2.9|3.4|1.5|0.7|0.43|0.394|0.802
Tim Hardaway Jr.|33|13.5|2.6|1.4|0.5|0.1|0.447|0.407|0.811
Cam Thomas|24|13.5|1.7|2.6|0.2|0.1|0.41|0.31|0.811
Ajay Mitchell|23|13.6|3.3|3.6|1.2|0.3|0.485|0.347|0.87
Naz Reid|26|13.6|6.2|2.2|1|1|0.456|0.362|0.732
Cedric Coward|22|13.6|5.9|2.8|0.6|0.4|0.471|0.338|0.843
Zach Edey|23|13.6|11.1|1.1|0.6|1.9|0.633|0.2|0.781
John Collins|28|13.6|5.3|1|0.9|0.7|0.552|0.406|0.766
Bobby Portis|30|13.7|6.4|1.6|0.6|0.2|0.488|0.456|0.706
De'Andre Hunter|28|13.7|4.1|2|0.7|0.1|0.415|0.305|0.867
Ace Bailey|19|13.8|4.2|1.8|0.8|0.7|0.443|0.344|0.75
Aaron Nesmith|26|13.8|4.2|1.9|0.6|0.5|0.414|0.379|0.829
Brandin Podziemski|22|13.8|5.1|3.7|1.1|0.2|0.455|0.371|0.797
Jalen Suggs|24|13.8|3.9|5.5|1.8|0.7|0.435|0.339|0.855
Devin Vassell|25|13.9|4|2.5|0.9|0.4|0.437|0.384|0.815
Keegan Murray|25|14|5.7|1.7|1|1.6|0.42|0.277|0.776
Santi Aldama|25|14|6.7|2.9|0.9|0.7|0.479|0.35|0.667
Tre Jones|26|14.1|3.1|5.4|1.2|0.2|0.553|0.315|0.841
Kelly Oubre Jr.|30|14.1|5|1.6|1.4|0.5|0.467|0.36|0.766
Ivica Zubac|28|14.1|10.6|2.2|0.4|0.8|0.598|0|0.711
P.J. Washington|27|14.2|7|1.8|1|1.1|0.45|0.325|0.687
Scoot Henderson|21|14.2|2.7|3.7|0.9|0.3|0.418|0.352|0.84
Jeremiah Fears|19|14.3|3.7|3.4|1.2|0.4|0.434|0.33|0.789
Cormac Ryan|27|14.3|2.5|1.7|1|0.3|0.52|0.458|0.923
Anfernee Simons|26|14.3|2.5|2.4|0.5|0.1|0.44|0.385|0.896
Walker Kessler|24|14.4|10.8|3|1.4|1.8|0.703|0.75|0.7
Mikal Bridges|29|14.4|3.8|3.7|1.3|0.8|0.49|0.371|0.827
Peyton Watson|23|14.6|4.9|2.1|0.9|1.1|0.491|0.411|0.73
Ayo Dosunmu|26|14.8|3.4|3.6|0.8|0.3|0.517|0.439|0.876
Kyshawn George|22|14.8|5.1|4.5|1|0.9|0.438|0.381|0.802
Jaden McDaniels|25|14.8|4.2|2.7|1.1|1|0.515|0.412|0.835
Brice Sensabaugh|22|14.9|3.1|1.9|0.7|0.2|0.46|0.367|0.826
Anthony Black|22|15|3.8|3.7|1.4|0.7|0.447|0.333|0.732
Kennedy Chandler|23|15|3.4|6.7|1|0.2|0.445|0.395|0.651
Nikola Vucevic|35|15.1|8.4|3.3|0.6|0.6|0.493|0.369|0.828
Russell Westbrook|37|15.2|5.4|6.7|1.3|0.2|0.427|0.338|0.694
Onyeka Okongwu|25|15.2|7.6|3.1|1.1|1.1|0.48|0.376|0.757
Naji Marshall|28|15.2|4.7|3.3|1.1|0.1|0.51|0.291|0.76
Jarrett Allen|27|15.4|8.5|1.8|1|0.8|0.638|0.1|0.709
Jaime Jaquez Jr.|24|15.4|5|4.7|0.7|0.3|0.507|0.317|0.769
Andrew Wiggins|30|15.4|4.8|2.7|1.1|1|0.475|0.414|0.784
Collin Sexton|27|15.4|2.3|3.3|1.1|0.1|0.485|0.401|0.855
Jabari Smith Jr.|22|15.8|6.9|1.9|0.7|0.9|0.45|0.363|0.775
Domantas Sabonis|29|15.8|11.4|4.1|0.9|0.2|0.543|0.185|0.727
VJ Edgecombe|20|16|5.6|4.2|1.4|0.5|0.438|0.354|0.818
Aaron Gordon|30|16.2|5.8|2.7|0.6|0.3|0.497|0.389|0.767
Dariq Whitehead|21|16.3|4|1.5|0.7|0|0.398|0.317|0.714
Alex Sarr|20|16.3|7.4|2.7|0.8|2|0.482|0.333|0.692
Jrue Holiday|35|16.3|4.6|6.1|1|0.1|0.451|0.378|0.838
Matas Buzelis|21|16.3|5.8|2.1|0.7|1.5|0.463|0.349|0.786
Immanuel Quickley|26|16.4|4|5.9|1.3|0.1|0.443|0.374|0.821
Derrick White|31|16.5|4.4|5.4|1.1|1.3|0.394|0.327|0.902
Grayson Allen|30|16.5|3|3.8|1.4|0.3|0.403|0.349|0.857
Dejounte Murray|29|16.7|5.4|6.4|1.6|0.2|0.484|0.306|0.867
Stephon Castle|21|16.7|5.3|7.4|1.1|0.3|0.471|0.332|0.734
OG Anunoby|28|16.7|5.2|2.2|1.6|0.7|0.484|0.386|0.828
Kristaps Porzingis|30|16.7|5.2|2.5|0.6|1.2|0.446|0.338|0.842
Andrew Nembhard|26|16.9|2.8|7.7|0.9|0.1|0.442|0.361|0.825
Payton Pritchard|28|17|3.9|5.2|0.7|0.1|0.464|0.377|0.89
Josh Giddey|23|17|8.3|9.1|1|0.5|0.448|0.364|0.763
Jalen Williams|24|17.1|4.6|5.5|1.2|0.3|0.484|0.299|0.837
Chet Holmgren|23|17.1|8.9|1.7|0.6|1.9|0.557|0.362|0.792
Miles Bridges|27|17.1|5.8|3.2|0.6|0.4|0.46|0.333|0.822
Ryan Rollins|23|17.3|4.6|5.6|1.5|0.4|0.472|0.406|0.796
Paul George|35|17.3|5.3|3.6|1.7|0.4|0.439|0.392|0.82
Kevin Porter Jr.|25|17.4|5.2|7.4|2.2|0.5|0.465|0.322|0.878
Coby White|25|17.4|3.4|4|0.5|0.1|0.446|0.362|0.817
Bennedict Mathurin|23|17.6|5.4|2.4|0.8|0.2|0.43|0.315|0.869
Saddiq Bey|26|17.7|5.6|2.5|0.9|0.1|0.451|0.367|0.841
Jalen Green|23|17.8|3.6|2.8|1.1|0.3|0.422|0.313|0.747
Trae Young|27|17.9|2|8|0.9|0.1|0.458|0.338|0.825
Scottie Barnes|24|18.1|7.5|5.9|1.4|1.5|0.507|0.304|0.815
Evan Mobley|24|18.2|9|3.6|0.7|1.7|0.546|0.297|0.606
Amen Thompson|23|18.3|7.8|5.3|1.5|0.6|0.534|0.216|0.779
DeMar DeRozan|36|18.4|2.9|4.1|1|0.3|0.497|0.32|0.868
Kon Knueppel|20|18.5|5.3|3.4|0.7|0.2|0.475|0.425|0.863
Jerami Grant|31|18.6|3.5|2.1|0.7|0.6|0.453|0.389|0.814
De'Aaron Fox|28|18.6|3.8|6.2|1.2|0.3|0.486|0.332|0.76
CJ McCollum|34|18.7|3.3|3.9|0.8|0.5|0.455|0.375|0.772
Darius Garland|26|18.8|2.4|6.7|1|0.2|0.46|0.396|0.861
Zach LaVine|30|19.2|2.8|2.3|0.7|0.3|0.479|0.39|0.88
RJ Barrett|25|19.3|5.3|3.3|0.7|0.3|0.491|0.339|0.717
Jaren Jackson Jr.|26|19.4|5.7|2|1.1|1.4|0.476|0.357|0.803
Ja Morant|26|19.5|3.3|8.1|1|0.3|0.41|0.235|0.897
Jalen Duren|22|19.5|10.5|2|0.8|0.8|0.65|0|0.747
Ty Jerome|28|19.7|2.8|5.7|1.1|0.3|0.474|0.42|0.875
Jimmy Butler|36|20|5.6|4.9|1.4|0.2|0.519|0.376|0.864
Karl-Anthony Towns|30|20.1|11.9|3|0.9|0.5|0.501|0.368|0.858
Desmond Bane|27|20.1|4.1|4.1|1|0.5|0.484|0.391|0.908
LaMelo Ball|24|20.1|4.8|7.1|1.2|0.2|0.407|0.368|0.899
Bam Adebayo|28|20.1|10|3.2|1.2|0.7|0.442|0.318|0.778
Brandon Miller|23|20.2|4.9|3.3|1|0.7|0.435|0.383|0.892
Dillon Brooks|30|20.2|3.6|1.8|1|0.2|0.435|0.344|0.842
Alperen Sengun|23|20.4|8.9|6.2|1.2|1.1|0.519|0.305|0.691
Anthony Davis|32|20.4|11.1|2.8|1.1|1.7|0.506|0.27|0.728
Tyler Herro|26|20.5|4.8|4.1|0.7|0.4|0.48|0.378|0.917
Franz Wagner|24|20.6|5.2|3.3|0.9|0.3|0.481|0.345|0.823
Shaedon Sharpe|22|20.8|4.3|2.6|1.4|0.1|0.452|0.337|0.787
Nickeil Alexander-Walker|27|20.8|3.4|3.7|1.3|0.5|0.459|0.399|0.902
LeBron James|41|20.9|6.1|7.2|1.2|0.6|0.515|0.317|0.737
Zion Williamson|25|21|5.7|3.2|1|0.5|0.6|0.25|0.716
Cooper Flagg|19|21|6.7|4.5|1.2|0.9|0.468|0.295|0.827
Julius Randle|31|21.1|6.7|5|1.1|0.2|0.481|0.315|0.802
Trey Murphy III|25|21.5|5.7|3.8|1.5|0.4|0.47|0.379|0.886
Brandon Ingram|28|21.5|5.6|3.7|0.8|0.7|0.477|0.382|0.82
Norman Powell|32|21.7|3.5|2.5|1.1|0.2|0.47|0.38|0.827
Jayson Tatum|27|21.8|10|5.3|1.4|0.2|0.411|0.329|0.823
Paolo Banchero|23|22.2|8.4|5.2|0.7|0.6|0.459|0.305|0.775
Jalen Johnson|24|22.5|10.3|7.9|1.2|0.4|0.489|0.352|0.788
Austin Reaves|27|23.3|4.7|5.5|1.1|0.4|0.49|0.36|0.871
Keyonte George|22|23.6|3.7|6.1|1.1|0.3|0.456|0.371|0.892
James Harden|36|23.6|4.8|8|1.1|0.4|0.434|0.375|0.884
Cade Cunningham|24|23.9|5.5|9.9|1.4|0.8|0.461|0.342|0.812
Pascal Siakam|31|24|6.6|3.8|1.1|0.4|0.484|0.358|0.693
Michael Porter Jr.|27|24.2|7.1|3|1.1|0.3|0.463|0.363|0.859
Deni Avdija|25|24.2|6.9|6.7|0.8|0.6|0.462|0.318|0.802
Victor Wembanyama|22|25|11.5|3.1|1|3.1|0.512|0.349|0.827
Jamal Murray|28|25.4|4.4|7.1|0.9|0.4|0.483|0.435|0.887
Kevin Durant|37|26|5.5|4.8|0.8|0.9|0.52|0.413|0.874
Jalen Brunson|29|26|3.3|6.8|0.8|0.1|0.467|0.369|0.841
Devin Booker|29|26.1|3.9|6|0.8|0.3|0.456|0.33|0.873
Stephen Curry|37|26.6|3.6|4.7|1.1|0.4|0.468|0.393|0.923
Lauri Markkanen|28|26.7|6.9|2.1|1|0.5|0.477|0.355|0.896
Joel Embiid|31|26.9|7.7|3.9|0.6|1.2|0.489|0.333|0.854
Giannis Antetokounmpo|31|27.6|9.8|5.4|0.9|0.7|0.624|0.333|0.65
Nikola Jokic|30|27.7|12.9|10.7|1.4|0.8|0.569|0.38|0.831
Donovan Mitchell|29|27.9|4.5|5.7|1.5|0.3|0.483|0.364|0.865
Kawhi Leonard|34|27.9|6.4|3.6|1.9|0.4|0.505|0.387|0.892
Tyrese Maxey|25|28.3|4.1|6.6|1.9|0.8|0.462|0.367|0.892
Jaylen Brown|29|28.7|6.9|5.1|1|0.4|0.477|0.347|0.795
Anthony Edwards|24|28.8|5|3.7|1.4|0.8|0.489|0.399|0.796
Shai Gilgeous-Alexander|27|31.1|4.3|6.6|1.4|0.8|0.553|0.386|0.879
Luka Doncic|26|33.5|7.7|8.3|1.6|0.5|0.476|0.366|0.78
